"Search Phrase","Category","Product ID","Product","Brand or Artist","Release","Format","List Price","Sale Price","Discount","%","Comm.","Bestseller","Rating","Reviews","Link"
"","","B000AX3SSI","Northern Lab-Goddards 707684 Goddard's Long Shine Silver Care Cloth (17.5"" x 13"")","","","","$9.99","$6.99","$3.00","30.0%","$0.28","","4.2","30","http://www.amazon.com/Northern-Lab-Goddards-707684-Goddards-Silver/dp/B000AX3SSI/ref=sr_1_66/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-66&keywords=Northern&tag=dummyaffliate"
"","","B006CSQXLO","Duracell Batteries, Alkaline, AAA 16 batteries","","","","$23.50","$9.99","$13.51","57.5%","$0.40","","4.2","29","http://www.amazon.com/Duracell-Batteries-Alkaline-AAA-batteries/dp/B006CSQXLO/ref=sr_1_117/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-117&keywords=Northern&tag=dummyaffliate"
"","","B003XVSPJQ","BR40 120 WATT FLOOD LIGHT BULB 12 PACK","","","","","$49.99","","","$2.00","","4.2","11","http://www.amazon.com/BR40-WATT-FLOOD-LIGHT-BULB/dp/B003XVSPJQ/ref=sr_1_92/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-92&keywords=Northern&tag=dummyaffliate"
"","","B00F0KXZE8","Home Advances Solar LED Light with Motion Sensor and Video Camera","","","","$149.99","$129.99","$20.00","13.3%","$5.20","","4.2","5","http://www.amazon.com/Home-Advances-Motion-Sensor-Camera/dp/B00F0KXZE8/ref=sr_1_54/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-54&keywords=Northern&tag=dummyaffliate"
"","","B002UJGK1C","Thermos FOOGO Phases Stainless Steel Straw Bottle, Pink/Purple, 10 Ounce","","","","$18.99","$14.83","$4.16","21.9%","$0.59","","4.1","968","http://www.amazon.com/Thermos-Phases-Stainless-Bottle-Purple/dp/B002UJGK1C/ref=sr_1_30/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-30&keywords=Northern&tag=dummyaffliate"
"","","B000H8VPNG","PikStik Pro Aluminum Reacher, 32 Inch, Yellow","","","","$23.99","$19.51","$4.48","18.7%","$0.78","","4.1","338","http://www.amazon.com/PikStik-Aluminum-Reacher-Inch-Yellow/dp/B000H8VPNG/ref=sr_1_71/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-71&keywords=Northern&tag=dummyaffliate"
"","","B0016H0O6G","Blazer C6423 Trailer Light Kit-1 pair","","","","$38.85","$21.37","$17.48","45.0%","$0.85","","4.1","85","http://www.amazon.com/Blazer-C6423-Trailer-Light-Kit-1/dp/B0016H0O6G/ref=sr_1_82/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-82&keywords=Northern&tag=dummyaffliate"
"","","B003Q6CGKW","DewStop FS-100 Condensation Control Sentry Fan Switch, White","","","","$49.00","$36.05","$12.95","26.4%","$1.44","","4.1","68","http://www.amazon.com/DewStop-FS-100-Condensation-Control-Sentry/dp/B003Q6CGKW/ref=sr_1_107/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-107&keywords=Northern&tag=dummyaffliate"
"","","B0014ZPAFK","Feel Bright 8,000 to 12,000 Lux Sad Light Therapy Visor","","","","$239.99","$149.00","$90.99","37.9%","$5.96","","4.1","55","http://www.amazon.com/Feel-Bright-Light-Therapy-Visor/dp/B0014ZPAFK/ref=sr_1_47/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473597&sr=1-47&keywords=Northern&tag=dummyaffliate"
"","","B000YQNGII","Sadelite 10,000 Lux Full Spectrum Light Therapy Desk Lamp for SAD, Beige","","","","","$199.99","","","$8.00","","4.1","42","http://www.amazon.com/Sadelite-Spectrum-Light-Therapy-Beige/dp/B000YQNGII/ref=sr_1_11/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-11&keywords=Northern&tag=dummyaffliate"
